ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-05-01,11287.016958253758,9699.403634936672,20442.478496048654,11287.016958253758,11287.016958253758,3838.320161661703,3838.320161661703,3838.320161661703,1436.8394301554813,1436.8394301554813,1436.8394301554813,2401.480731506222,2401.480731506222,2401.480731506222,0.0,0.0,0.0,15125.33711991546
2020-05-02,11338.24189152812,11452.421663005445,22672.802727252,11338.24189152812,11338.24189152812,5740.431642091026,5740.431642091026,5740.431642091026,3241.692435602217,3241.692435602217,3241.692435602217,2498.739206488808,2498.739206488808,2498.739206488808,0.0,0.0,0.0,17078.673533619145
2020-05-03,11389.466824802477,8248.682975228941,19061.046347114694,11389.466824802477,11389.466824802477,2180.557761880328,2180.557761880328,2180.557761880328,-402.3269403019958,-402.3269403019958,-402.3269403019958,2582.884702182324,2582.884702182324,2582.884702182324,0.0,0.0,0.0,13570.024586682805
2020-05-04,11440.691758076839,7757.993902580436,18311.785424172765,11440.691758076839,11440.691758076839,1553.2880910332992,1553.2880910332992,1553.2880910332992,-1098.0114101333413,-1098.0114101333413,-1098.0114101333413,2651.2995011666408,2651.2995011666408,2651.2995011666408,0.0,0.0,0.0,12993.979849110137
2020-05-05,11491.9166913512,7377.136181607734,18207.68263851502,11491.9166913512,11491.9166913512,1244.4393399424869,1244.4393399424869,1244.4393399424869,-1457.0638652387738,-1457.0638652387738,-1457.0638652387738,2701.503205181261,2701.503205181261,2701.503205181261,0.0,0.0,0.0,12736.356031293686
2020-05-06,11543.141624625561,7394.206641867687,18190.8122187959,11543.141624625561,11543.141624625561,1373.8507181599527,1373.8507181599527,1373.8507181599527,-1357.3780275392085,-1357.3780275392085,-1357.3780275392085,2731.228745699161,2731.228745699161,2731.228745699161,0.0,0.0,0.0,12916.992342785514
2020-05-07,11588.856075833915,8084.364957438395,18963.93216483436,11588.856075833915,11588.856075833915,2374.7450282670457,2374.7450282670457,2374.7450282670457,-363.7516225434524,-363.7516225434524,-363.7516225434524,2738.496650810498,2738.496650810498,2738.496650810498,0.0,0.0,0.0,13963.60110410096
2020-05-08,11634.570527042271,10572.902001655766,21071.453944929177,11634.570527042271,11634.570527042271,4158.5246620126545,4158.5246620126545,4158.5246620126545,1436.8394301591577,1436.8394301591577,1436.8394301591577,2721.685231853496,2721.685231853496,2721.685231853496,0.0,0.0,0.0,15793.095189054926
2020-05-09,11680.284978250625,12305.590911167392,22856.492977078866,11680.284978250625,11680.284978250625,5921.28683637442,5921.28683637442,5921.28683637442,3241.6924356007603,3241.6924356007603,3241.6924356007603,2679.5944007736593,2679.5944007736593,2679.5944007736593,0.0,0.0,0.0,17601.571814625044
2020-05-10,11725.999429458978,8374.509746446529,19463.39325374668,11725.999429458978,11725.999429458978,2209.1740095594405,2209.1740095594405,2209.1740095594405,-402.326940303801,-402.326940303801,-402.326940303801,2611.5009498632407,2611.5009498632407,2611.5009498632407,0.0,0.0,0.0,13935.173439018417
2020-05-11,11771.713880667336,8079.045849158834,18106.70317414463,11771.713880667336,11771.713880667336,1419.1919067837025,1419.1919067837025,1419.1919067837025,-1098.0114101313745,-1098.0114101313745,-1098.0114101313745,2517.2033169150773,2517.2033169150773,2517.2033169150773,0.0,0.0,0.0,13190.905787451038
2020-05-12,11817.428331875686,7373.45220034309,17810.628035997946,11817.428331875686,11817.428331875686,939.9902509119103,939.9902509119103,939.9902509119103,-1457.0638652415769,-1457.0638652415769,-1457.0638652415769,2397.054116153487,2397.054116153487,2397.054116153487,0.0,0.0,0.0,12757.418582787597
2020-05-13,11863.142783084042,7441.55756904293,17978.66813514541,11863.142783084042,11863.142783084042,894.601004160558,894.601004160558,894.601004160558,-1357.3780275394456,-1357.3780275394456,-1357.3780275394456,2251.9790317000034,2251.9790317000034,2251.9790317000034,0.0,0.0,0.0,12757.7437872446
2020-05-14,11908.857234292396,8413.99347822015,19241.66983704996,11908.857234292396,11908.857234292396,1719.7294144874038,1719.7294144874038,1719.7294144874038,-363.7516225412215,-363.7516225412215,-363.7516225412215,2083.481037028625,2083.481037028625,2083.481037028625,0.0,0.0,0.0,13628.5866487798
2020-05-15,11954.571685500749,9936.512252689086,20455.081100630297,11954.571685500749,11954.571685500749,3330.468740517454,3330.468740517454,3330.468740517454,1436.839430160407,1436.839430160407,1436.839430160407,1893.6293103570476,1893.6293103570476,1893.6293103570476,0.0,0.0,0.0,15285.040426018202
2020-05-16,12000.286136709103,11548.019176298943,22472.64193771908,12000.286136709103,12000.286136709103,4926.7250859987835,4926.7250859987835,4926.7250859987835,3241.692435600638,3241.692435600638,3241.692435600638,1685.032650398146,1685.032650398146,1685.032650398146,0.0,0.0,0.0,16927.011222707886
2020-05-17,12046.000587917457,7315.566900926955,18711.813699712642,12046.000587917457,12046.000587917457,1058.470706179254,1058.470706179254,1058.470706179254,-402.326940306831,-402.326940306831,-402.326940306831,1460.797646486085,1460.797646486085,1460.797646486085,0.0,0.0,0.0,13104.471294096711
2020-05-18,12091.715039125813,6907.341279555276,17250.355859419444,12091.715039125813,12091.715039125813,126.46089820732503,126.46089820732503,126.46089820732503,-1098.011410133763,-1098.011410133763,-1098.011410133763,1224.4723083410884,1224.4723083410884,1224.4723083410884,0.0,0.0,0.0,12218.175937333137
2020-05-19,12137.429490334163,5537.14967973341,17263.3639398966,12137.429490334163,12137.429490334163,-477.0875653003675,-477.0875653003675,-477.0875653003675,-1457.063865244379,-1457.063865244379,-1457.063865244379,979.9762999440117,979.9762999440117,979.9762999440117,0.0,0.0,0.0,11660.341925033796
2020-05-20,12183.143941542521,5735.077325471697,17001.169282250365,12183.143941542521,12183.143941542521,-625.8586918497019,-625.8586918497019,-625.8586918497019,-1357.3780275405757,-1357.3780275405757,-1357.3780275405757,731.5193356908737,731.5193356908737,731.5193356908737,0.0,0.0,0.0,11557.285249692819
2020-05-21,12228.858392750873,6999.78907707853,17764.557597296465,12228.858392750873,12228.858392750873,119.7580497588108,119.7580497588108,119.7580497588108,-363.7516225389904,-363.7516225389904,-363.7516225389904,483.50967229780116,483.50967229780116,483.50967229780116,0.0,0.0,0.0,12348.616442509685
2020-05-22,12274.572843959228,7806.649245567454,19291.41546455464,12274.572843959228,12274.572843959228,1677.2943851848222,1677.2943851848222,1677.2943851848222,1436.8394301616559,1436.8394301616559,1436.8394301616559,240.4549550231663,240.4549550231663,240.4549550231663,0.0,0.0,0.0,13951.867229144049
2020-05-23,12320.287295167584,10344.624261002795,20990.704714858875,12320.287295167584,12320.287295167584,3248.550376793471,3248.550376793471,3248.550376793471,3241.6924355991796,3241.6924355991796,3241.6924355991796,6.857941194291504,6.857941194291504,6.857941194291504,0.0,0.0,0.0,15568.837671961055
2020-05-24,12366.001746375938,6773.843900770157,17172.530776043826,12366.001746375938,12366.001746375938,-615.2171212994501,-615.2171212994501,-615.2171212994501,-402.32694029715867,-402.32694029715867,-402.32694029715867,-212.8901810022915,-212.8901810022915,-212.8901810022915,0.0,0.0,0.0,11750.784625076487
2020-05-25,12411.71619758429,5751.516394443284,16489.114896456027,12411.71619758429,12411.71619758429,-1512.6274517226254,-1512.6274517226254,-1512.6274517226254,-1098.0114101317963,-1098.0114101317963,-1098.0114101317963,-414.61604159082907,-414.61604159082907,-414.61604159082907,0.0,0.0,0.0,10899.088745861665
