,ds,yhat,yhat_lower,yhat_upper,total_sales
349,2020-09-20,10719.762005706278,4756.19092361635,16145.350973775086,4256.29
350,2020-09-21,10046.725310115666,4264.859591602128,16017.767966623793,6178.4
351,2020-09-22,9591.533904982669,4192.436784896674,15267.608830651228,4601.97
352,2020-09-23,9860.67857936378,3739.062410913498,15787.987963898498,5518.02
353,2020-09-24,11150.726267106038,5219.075827414656,17004.68635791484,4250.87
354,2020-09-25,13340.16775384736,7854.408663896164,19094.273732546444,2703.11
355,2020-09-26,15549.416452889436,9821.303706818211,21545.971588662527,2560.72
356,2020-09-27,11539.876380960952,5642.801680850078,17208.109621389784,1893.52
357,2020-09-28,11015.458306261056,5229.70168211985,16489.541179440526,2705.64
358,2020-09-29,10679.936551616453,5427.690598513586,16281.149175974448,5265.13
359,2020-09-30,11037.514491007492,5435.288146106564,16847.985124088926,4366.63
360,2020-10-01,12383.455225378928,6571.602881938461,18048.618489167817,2124.23
361,2020-10-02,14595.960822486111,8992.45318345146,20411.961835993432,3857.33
362,2020-10-03,16796.172214793653,10903.193505608311,22521.94436009102,4675.13
363,2020-10-04,12747.20785155025,6718.000369549111,18390.504653789118,2863.45
364,2020-10-05,12155.620945367426,6349.824283569493,17984.638239371794,4386.95
365,2020-10-06,11728.669543725417,5848.667761658856,17735.29978690437,5587.29
366,2020-10-07,11974.770041629816,6066.504848286665,17816.531186950033,5686.94
367,2020-10-08,13193.993955892129,7708.520987611573,19526.85786183587,3202.91
368,2020-10-09,15269.795340273216,9275.191164554197,21064.66001236698,3101.55
369,2020-10-10,17328.845474217596,11858.50866726386,23260.580658785908,2652.74
370,2020-10-11,13139.897870865876,6838.207492269151,18877.389967389117,2179.6
371,2020-10-12,12415.068660397545,7292.711773601053,18147.56460259815,8284.9
372,2020-10-13,11866.931907374785,6162.041397764903,17576.87656901929,5408.05
373,2020-10-14,12008.805760739038,5739.953423134907,17586.424725725014,4755.63
374,2020-10-15,13145.094338007424,7484.7250153200675,18935.82240826211,6346.51
375,2020-10-16,15162.877450071855,9597.74077077373,20643.118040101857,2188.16
376,2020-10-17,17191.629031073993,11130.437784481488,23185.678698125408,3127.0
377,2020-10-18,13001.990919470294,7243.6044272672225,18937.674779143937,12468.8
378,2020-10-19,12306.98996592683,6494.434903313162,18057.484607009505,17159.28
379,2020-10-20,11819.099993587992,6278.013857912824,17261.203236980447,14493.82
380,2020-10-21,12050.52576435545,6309.442942984032,18043.092471476662,11289.75
381,2020-10-22,13303.574050401472,7915.886180379481,19073.448552552112,11722.07
382,2020-10-23,15462.303229402518,9866.03056937896,21207.245502961003,14483.01
383,2020-10-24,17652.330648319017,11711.741552384414,23385.40298083795,11149.72
384,2020-10-25,13639.721911126626,7527.724575347095,19046.733326600883,10589.2
385,2020-10-26,13132.346710949229,7414.646713984664,19218.96692949357,23253.92
386,2020-10-27,12837.09878989114,7295.272661086466,18337.84701424244,12560.59
387,2020-10-28,13260.35245900085,7935.874018728342,18733.02553045365,7501.59
388,2020-10-29,14698.515716423944,8799.069202642548,20908.74581198893,8387.89
389,2020-10-30,17029.86594492148,11693.8194992787,23404.312856281063,6508.54
390,2020-10-31,19374.54183967344,13562.549589090368,24923.23268381176,11597.56
391,2020-11-01,15493.610125444686,9452.20984571572,21598.920657034538,12752.02
392,2020-11-02,15090.586250389932,9325.091948130304,20644.43498581376,11993.14
393,2020-11-03,14868.80153028194,8941.081854657205,20628.253786984515,11947.79
394,2020-11-04,15331.984542820515,9947.659041187108,21036.997211427133,8272.36
395,2020-11-05,16774.912793179188,11116.417911341903,22167.82756168238,9537.2
396,2020-11-06,19075.31735454118,13705.860577643783,24929.80209183262,8316.69
397,2020-11-07,21353.911697656386,15433.299024701408,27221.49785765575,11068.53
398,2020-11-08,17373.461751326904,11267.2790334036,22728.526226735252,13805.8
399,2020-11-09,16840.275835183485,11304.614112673284,22558.18515454977,9808.25
400,2020-11-10,16461.50738834062,10798.166612717574,21803.98056102311,15794.57
401,2020-11-11,16745.639735140863,10861.74756312186,22063.382455616407,15011.62
402,2020-11-12,17993.01130888998,12153.030926123496,23275.12283577189,7993.72
403,2020-11-13,20087.56733463265,14381.68721818934,26205.751582855413,9774.22
404,2020-11-14,22156.713292838867,16340.358806769787,27868.467665859996,7925.3
405,2020-11-15,17970.192012086194,12234.184366627393,23966.87255385572,14268.69
406,2020-11-16,17241.368396053804,11365.253262280929,23193.819012126354,12161.92
407,2020-11-17,16684.320549960306,10777.92177157721,21742.903519702617,11408.74
408,2020-11-18,16814.112492580272,10983.797409956902,22080.699913159893,7748.92
409,2020-11-19,17937.11310699689,11969.772222220876,23387.35385171135,12275.88
410,2020-11-20,19942.55332098354,13943.540955708642,26055.27877346922,12359.77
411,2020-11-21,21962.20262607615,16705.524508912687,27330.260856417743,15779.11
412,2020-11-22,17769.092130641806,11955.29535439087,23439.678625128377,16756.4
413,2020-11-23,17078.672923081223,10901.257946037393,23274.11331439029,21826.7
414,2020-11-24,16605.812494013502,10798.377662092718,21558.54874838866,15520.08
415,2020-11-25,16865.00769251981,11136.458313452798,22616.86806807552,8899.61
416,2020-11-26,18160.681010446428,12226.72951437711,23536.888497832464,7100.23
417,2020-11-27,20378.753462586752,14568.916874200357,26256.5799071021,11938.46
418,2020-11-28,22646.375328139908,16965.020363877164,28733.487531771465,12531.57
419,2020-11-29,18730.74104133061,13456.327290424077,24424.04349990164,14532.66
420,2020-11-30,18340.37504236569,12310.91364353227,24181.51217523124,17913.98
421,2020-12-01,18182.288361233543,12596.041322393312,23948.95119569492,17811.38
422,2020-12-02,18762.38049520364,12697.747882717307,24494.654556457343,8395.45
423,2020-12-03,20375.94862440192,14697.179271237954,26162.549501706388,21959.78
424,2020-12-04,22899.49197178366,17172.95956567467,28805.77293904703,22382.07
425,2020-12-05,25450.686546200486,19620.733493885466,30827.90823073933,18626.14
426,2020-12-06,21787.4501252564,15977.845849858752,27714.76945187701,22469.14
427,2020-12-07,21609.47762899761,15845.45506477955,27580.03587651437,15673.72
428,2020-12-08,21615.639947256117,15557.187727236456,26859.158137533053,18793.14
429,2020-12-09,22304.61420732365,16292.009201832334,28067.173820287742,9511.31
430,2020-12-10,23965.60126692116,18123.548000422667,29080.7413602033,15554.65
431,2020-12-11,26470.31246779157,20301.847238955208,32471.24220752895,20457.95
432,2020-12-12,28933.095764728478,23611.29867500066,34726.045889498266,27907.12
433,2020-12-13,25110.11675420135,19583.467545968004,30811.678599514948,22710.78
434,2020-12-14,24700.971332025365,19411.70091686777,30381.755135398424,17002.91
435,2020-12-15,24406.12063136611,18494.710348803248,30297.87543837485,19339.03
436,2020-12-16,24727.514892332576,18871.8432189058,30709.461526532286,9685.23
437,2020-12-17,25959.261836670063,19991.29412904627,31508.57446045556,12350.73
438,2020-12-18,27979.52249360078,21989.592717986216,33900.40011678299,15335.62
439,2020-12-19,29910.506615647333,23988.651605854146,35083.386625156585,14110.06
440,2020-12-20,25517.486287503787,19986.247343964205,31042.86691584279,19527.13
441,2020-12-21,24510.208514604023,18995.195975492858,30018.699470956853,15666.27
442,2020-12-22,23600.10237050964,17946.204135877426,29318.25862850653,13822.91
443,2020-12-23,23300.653025859,17597.519625570734,29056.311585372336,9756.95
444,2020-12-24,23917.804490050705,17749.620059785397,29058.48048728973,10156.88
445,2020-12-25,25341.58070170896,19187.89371156701,30795.016989577125,15705.85
446,2020-12-26,26705.804039494255,20789.581189848752,32421.056349057977,15829.24
447,2020-12-27,21786.83685555236,16711.911474622706,27867.51057033403,13494.25
448,2020-12-28,20304.733695492647,14630.758140481095,26006.91843812982,14540.88
449,2020-12-29,18980.2063583284,13376.42911756586,24968.82174852924,15113.18
450,2020-12-30,18334.78021697133,12630.10425413247,24053.996709244428,7769.22
451,2020-12-31,18681.009091652657,12784.290977308268,24121.722467999512,7846.86
452,2021-01-01,19913.942994349272,14152.118847205104,26027.22173616151,7143.62
453,2021-01-02,21170.731597623413,15650.75101663867,26755.813897544314,10517.1
454,2021-01-03,16229.29181520971,10914.310140892405,21866.97044928853,13380.73
455,2021-01-04,14809.428876733338,9026.319584428244,20936.38248939669,15223.44
456,2021-01-05,13629.813661907774,7511.340581526931,19185.417213154324,16127.22
457,2021-01-06,13208.194209119953,7715.923640955039,19113.81157023256,11655.98
458,2021-01-07,13851.707086849285,8115.004063222721,19810.68647810973,13691.38
459,2021-01-08,15448.480292612052,9627.269112427814,21561.888705548838,10567.05
460,2021-01-09,17127.406906359745,11090.7650438937,22961.199010766184,9521.18
